Variables,Variables_clean,Variables _normalized,Eliminar,Exportar a df_final,Otros
listing_id,,,,,
id,,,,,
scrape_id,,,Si,,
review_scores_value,group_1_score_clean ,group_1_score_clean_normalized,,,
review_scores_rating,group_1_score_clean ,group_1_score_clean_normalized,,,
review_scores_accuracy,group_1_score_clean ,group_1_score_clean_normalized,,,
review_scores_location,group_2_score_clean,group_2_score_clean_normalized,,,
review_scores_communication,group_2_score_clean,group_2_score_clean_normalized,,,
review_scores_checkin,group_2_score_clean,group_2_score_clean_normalized,,,
review_scores_cleanliness,group_2_score_clean,group_2_score_clean_normalized,,,
reviews_per_month_listings,reviews_per_month_listings_clean,reviews_per_month_listings_clean_normalized,,,
longitude_listings,longitud_listtings_clean,longitude_listings_clean_normalized,,,
latitude_listings,latitude_listings_clean,latitude_listings_clean_normalized,,,
amenities,amenities_clean,amenities_clean_normalized,,,
beds,beds_clean,beds_normalized,,,
bedrooms,bedrooms_clean,bedrooms_normalized,,,
bathrooms,bathrooms_clean,bathrooms_normalized,,,
accommodates,accommodates_clean,accommodates_normalized,,,
host_is_superhost,host_is_superhost_clean,host_is_superhost_clean_normalized,,,
price,price_clean,price_clean_normalized,,price_outliers,
availability_90,availability_90_clean,availability_90_clean_normalized,,,
availability_60,availability_60_clean,availability_60_clean_normalized,,,
availability_30,availability_30_clean,availability_30_clean_normalized,,,
availability_365_listings,availability_365_listings_clean,availability_365_listings_clean_normalized,,,
host_response_rate,host_response_rate_clean,host_response_rate_normalized,,,
minimum_nights_avg_ntm,minimum_nights_avg_ntm_clean,minimum_nights_avg_ntm_normalized,,,
minimum_minimum_nights,minimum_minimum_nights_clean,minimum_minimum_nights_normalized,,,
minimum_maximum_nights,,minimum_maximum_nights_normalized,,,
maximum_nights,maximum_nights_clean,maximum_nights_normalized,,,
maximum_nights_avg_ntm,maximum_nights_avg_ntm_clean,maximum_nights_avg_ntm_normalized,,,
maximum_minimum_nights,maximum_minimum_nights_clean,maximum_minimum_nights_normalized,,,
maximum_maximum_nights,maximum_maximum_nights_clean,maximum_maximum_nights_normalized,,,
,calculated_host_listings_count_private_rooms_clean,calculated_host_listings_count_private_rooms_normalized,,,
,,calculated_host_listings_count_shared_rooms_normalized,,,
,calculated_host_listings_count_entire_homes_clean,calculated_host_listings_count_entire_homes_normalized,,,
,calculated_host_listings_count_listings_2_clean,calculated_host_listings_count_listings_2_normalized,,,
,number_of_reviews_ltm_listings_clean,number_of_reviews_ltm_listings_clean_normalized,,,
,listing_url_clean,,,,
,name_clean,,,,
,neighbourhood_clean,,,,
,property_type_clean,,,,
last_review_listings,last_review_clean,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
minimum_nights_listings,,,,,
,bathrooms_text_clean,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,first_review_clean,,,,
,,,,,
,host_identity_verified_clean,,,,
,,,,,
,neighborhood_overview_clean,,,,
number_of_reviews_ltm_listings,,,,,
,,,,,
,,,,,
,,,,,
date,,,,,
,,,,,
,calendar_last_scraped_clean,,,,
,,,,,
,has_availability_clean,,,,
,room_type_clean,,,,
,,,,,
,,,,,
host_id_listings,calculated_host_listings_count_shared_rooms_clean,,,,
,,,,,
calculated_host_listings_count_shared_rooms,host_since_clean,,,,
calculated_host_listings_count_private_rooms,instant_bookable_clean,,,,
calculated_host_listings_count_listings_2,,,,,
calculated_host_listings_count_listings,host_verifications_clean,,,,
calculated_host_listings_count_entire_homes,,,,,
